,content,sentiment,raw,rate
5227,ELAST AGARR CABEZ SAL FACIL PROB ADULT,[0 1],Gracias Para un nene es medio grande y no tiene elástico para agarrar la cabeza entonces se sale fácil hasta me lo probé yo que soy adulto y me quedaba flojo! Saludos espero las críticas sean constructivas.,negative
5228,ORIGINAL DEWALT ORIGINAL COPI CHIN PRIM OBVI PRECI IGUAL,[0 1],No es original El producto no es dewalt original. No solo se nota una copia china sino que al primer uso en una tabla de pino perdio dos filos. Es obvio x el precio igual.,negative
5229,BUEN VERD RESULT BUEN MEJOR WIRELESS ENCONTR RELACION CALID PRECI CANCEL RUID IMPRESION IZQUIERD VEC CALL VEZ FUNCION PAS INMEDIAT CUAND PON OID ACTIV CELU PROBLEM ENTREN CAMIN ALGUN LAD GUST ESCUCH BAJ,[1 0],"Muy bueno La verdad me resultaron muy buenos, los mejores true wireless que podes encontrar en relación calidad precio. La cancelación de ruidos es impresionante. El izquierdo se me cayo ya dos veces en la calle y una vez en el agua y sigue funcionando como si nada le hubiese pasado. El emparejamiento es inmediato cuando te lo pones en los oidos y tenes el bluetooth activado en el celu. No tuve problemas con la autonomia de la batería por el uso que le doy yo (entrenar o cuando voy caminando a algun lado). Quizás lo que menos me gusta es que no se escuchen tanto los bajos",positive
5230,EXCELENT EXCELENT BUEN CALID RECOM,[1 0],"Excelente excelente producto y muy buena la calidad, lo recomiendo",positive
5231,EXCELENT COMPR HERMOS HIZ,[1 0],excelente compra hermoso el adorno que hizo para la torta de mi hija. tal cual la foto! la recomiendo,positive
5232,EMPEZ CANDY BUEN IMAGEN CALID BUEN,[0 1],Ayuda si recien estas empezando con el candy Buenas imagenes y la calidad buena,negative
5233,COCHECIT FUERT DESARM BEB,[0 1],No es un cochecito fuerte ni seguro Malo se desarmó apenas subí al bebé,negative
5234,CUID AÑOS TENG TUV PROBLEM HAC ORIN SANGR ATENCION VETERINARI MEDIC SIMILAR TUV PROBLEM GAT FELIZ,[1 0],"Cuidado del tracto urinario de gato Hace varios años que lo tengo. Mi gato tuvo un problema, hacía orina con sangre. Pero con atención veterinaria y medicación, además de este producto (como otros similares), no tuvo más problemas. Hoy es un gato feliz.",positive
5235,BOMB,[0 1],Mala Me vino la bomba de agua fallada,negative
5236,EXCELENT BUEN ENCANT RECOM,[1 0],Excelente Muy buen producto me encantó lo recomiendo,positive
5237,MAL MAL CONSUM DESCONFIGUR ROBUST ANDA OTRO,[0 1],"Mal producto. Mal producto. Consume la bateria aun sin usarlo, se desconfigura, Poco robusto.  No me gusto. Compre dos, uno mas o menos anda el otro no.",negative
5238,BUEN BUEN,[0 1],Muy bueno Muy bueno!!! Es lo que esperaba,negative
5239,SIRVI SIRVI COLOQU DIA SIGUIENT,[0 1],no me sirvio no e sirvio lo coloque y al dia siguiente se dspego,negative
5240,MAL PEOR MAL BARAT DUR,[0 1],"Malo El limpiador facial es lo peor, me salio muy malo ( lo barato sale caro) no duro ni un mes.",negative
5241,MAL MALISIM REALIST SENSOR MOVIMIENT DES VENDEDOR ROJ SIEMPR TOTAL,[0 1],"Muy malo Este Producto es malisimo. No es realista, y no tiene sensor de movimiento. lo de desarme y el vendedor me mintio, solo tiene una luz roja que titila siempre y esta conectado a la pila. Fraude total",negative
5242,MAL RECOM NINGUN,[0 1],Muy malo No lo recomiendo no me germino ninguna semilla una pena el gasto,negative
5243,USAR COMPR KIL LAT ESTAN MAL ESTAD SUPONG ESTAR IGUAL,[0 1],"PARECE GELATINA Y NO SE PUEDE USAR EL PRODUCTO VINO HECHO GELATINA, NO SIRVIO PARA NADA, COMPRE TRES KILOS ABRI DOS LATAS Y ESTAN EN MAL ESTADO LA TERCERA SUPONGO QUE DEBE ESTAR IGUAL",negative
5244,MAL VIN 20MTS QUIS CARG RECOMEND,[0 1],Muy malo Pesimo!!! compre 10mts y vinieron 9.20mts y no se quisieron hacer cargo como correspondia. Muy poco recomendables.,negative
5245,EXCELENT EXCELENT,[1 0],Excelente Excelente!.....y la atención maravillosa,positive
5246,BUEN MAQUIN BUEN RECOM,[1 0],Una muy buena maquina Muy buen producto lo recomiendo,positive
5247,MAL DUR PERDI GIR FUNCION SEMAN BUEN,[0 1],"Muy malo NO DURO NADA, SE PERDIO LA GOMA PARA GIRAR Y NO FUNCIONA MAS.  NO HACE UNA SEMANA .. O ES UN BUEN PRODUCTO MENOS PARA GASTRONOMIA..",negative
5248,EXELENT EXELENT HERMOS ESPER,[0 1],Exelente Exelente hermosa loque esperaba,negative
5249,PROB COS VELADOR ANDA BIEN,[0 1],Tendrian que probar las cosas antes de enviarlas Unos de los veladores no anda bien la perilla,negative
5250,LIND PEQUEÑ BASTANT BLAND CAPAZ PRECI,[0 1],Ssorprendida Son lindas pero muy pequeñas  y bastantes blandas pero bueno capaz x el precio está bien,negative
5251,PRACTIC COLOC,[1 0],Util. como mochila anda barbaro pero no es muy practico para colocarlo en la moto.,positive
5252,EXCELENT MENU SENCILL,[1 0],Excelente producto. menú muy sencillo. Recomendabe Excelente compra. Muy satisfecho!,positive
5253,BUEN LIND CALID LIND,[1 0],Muy bueno Muy linda calidad y lindo el conjunto,positive
5254,ERA ESPER RECIBI PACT,[1 0],Era lo que esperaba..!! Recibi todo segun lo pactado..!!,positive
5255,RESPUEST SATISFACTORI RECLAM ENCI SOLICIT,[0 1],No tuve respuesta satisfactoria al reclamo. No enciaron lo que solicité. Solo alguno de los 10 sacabocados..,negative
5256,BUEN BUEN REFORZ BOMB GENIAL,[1 0],"Muy bueno Muy buen producto y reforzado, para la base de la bomba es genial",positive
5257,MEDI,[0 1],"Medio pelo Como sillon safa, como cama no va",negative
5258,BUEN TOD CUMPL TIEMP LIND,[1 0],muy bueno! todo ok!!!! Recomendable  cumplieron en tiempo y el producto es muy lindo!,positive
5259,BUEN,[1 0],Muy bueno De gran utilidad. Justo el producto que estaba necesitando,positive
5260,PORQU,[0 1],No sirve Una porquería .. No sirve para nada,negative
5261,ERA VERD LLEG PIC,[0 1],No es el de la foto La publicacion era verde llego celeste. Los conectores y el pico no son los de la publicacion,negative
5262,FRACAS MAL ANDUV DIAS DEJ FUNCION,[0 1],Un fracaso Mal anduvo bien 2 días y dejo de funcionar,negative
5263,LLEG VER ORIGINAL,[0 1],"Malo Los esmaltes no secan NUNCA. Llegué a dejar la mano 15 minutos dentro de la lámpara para ver si funcionaba y nada... Totalmente truchos esos esmaltes, no son los originales",negative
5264,VIN FOC ROT REITER,[0 1],"Malo estaba bueno , pero vinieron  4 focos rotos  y no me lo reiteraron",negative
5265,LLEG PRECI ESPER,[0 1],Malo Llego bien . Pero por el precio esperaba mas,negative
5266,BALAZ PRIMER MED IGUAL ORIGINAL BUEN CALID VIN EMBAL LLEG IMPEC,[1 0],"Un Balazo!! De primera.! Las medidas igual al original del corsa. Parece de buena calidad. Aparte vino bien embalado, llegó impecable.",positive
5267,REGUL SOL BASIC FIJ MODIFIC PANEL CONTROL INDIC 17V DESCONECT BATERI RIESG APTO DEJ CONECT PAS CARG MOD TENG CARG PART REGUL MODEL IMIT OTRAS TIEN FUNCION DISPLAY,[0 1],"Regulador solar básico de voltaje fijo Regulador genérico de 10 a,-Está fijo el voltaje de seteo en 14.5v, no se puede modificar desde el panel de control, lo que indica el LCD es de fantasía.La salida DC entrega los 17v del panel si se desconecta la bateria, Es de riesgo el uso de esta salida DC..-No es apto para dejar conectado a baterias de Gel de 7 a 10 amp. las pasa de carga , no corta nunca de los 14.5 v y no pasa a modo carga de flote.. Sirve para baterias grandes de auto y que tengan consumo de carga durante parte del día.- Es un regulador modelo imitación a la marca ALLpowers y otras que si tienen todas las funciones del display.",negative
5268,BUEN CALID BUEN,[1 0],Buena calidad Muy buen producto.,positive
5269,BUEN BUEN BUSC EXCELENT,[1 0],Bueno Bueno lo que estaba buscando excelente,positive
5270,CHASC COM ACCESORI INDIVIDUAL CONFIGUR ORIGINAL RADI TIEN COMPAR ESTERE TENI COLOC TOM SEÑAL GUST VOLV COMPR,[0 1],"Un chasco. El comando al volante, es un accesorio individual que no se puede configurar con el control original y por lo tanto no me sirve para este estéreo. La radio no tiene alcance para emisoras AM, comparado con otro estéreo que tenia colocado, y cuando transito en ruta no toma señal. No me gustó, por lo tanto no volvería a comprarlo.",negative
5271,BAJ CALID SALI PART ANTIDESLIZ,[0 1],Baja calidad Al 1 er lavado se salio toda la parte antideslizante de la planta del pie,negative
5272,EXCELENT RECIBI TOD,[1 0],Excelente se recibio todo en perfecto estado,positive
5273,EXCELENT,[1 0],"Excelente Hermoso el Nidito, muy conforme...",positive
5274,TIEN ESTAF ESCRIB TENI RESPOND,[0 1],Es un estafa el producto Malo. No tiene la luz UV. Me siento estafado. Escribí para comunicar sobre el producto q no tenia la luz UV y nunca respondieron.,negative
5275,RECOMEND VENDEDOR PREDISPUEST LLEG TIEMP,[1 0],"Muy recomendable el vendedor, predispuesto ante cu Excelente producto llego antes de tiempo",positive
5276,EXCELENT SOLUCION PERFECT TOALL GUST PON LAD QUED LIND RECOM,[1 0],Excelente La solucion perfecta para colgar esponjas y toallas en el baño. Si no te gusta el lugar lo despegas y lo pones en otro lado. Aparte queda lindo. Lo recomiendo,positive
5277,BUEN COLOR QUED MATERIAL COLOC HAY QUED,[0 1],"No es 100 porciento como en la foto, me decepcionó Buen agarre ahunque el logo de arriba no tiene color como en la foto y no queda a la altura cómo en la foto por la falta de material al colocarlo hay que estirarlo y queda casi en el filo del asiento",negative
5278,MAL CALID MAL CALID AMBAS RECOM VEZ ORIGINAL RESPUEST,[0 1],MALA CALIDAD Mala calidad. Al mes de uso se despegaron ambas zapatillas en la zona del arco. No las recomiendo. Tal vez no son originales. No tuve respuesta,negative
5279,DECEPCION VE FOT PRECI CORT CALID,[0 1],"Decepcionante No son como se ve en las fotos, el precio no es corte a la calidad",negative
5280,VEO AGUJER TRUCH HAY PAREC SENSIBL,[0 1],"No la volveria a comprar Esta toda curtida, la use dos dias y ya veo agujeros que pasan de la lona interior a la superficie. Los cierres son muy truchos. cuesta para abrirlos y hay que cuidarlos por que parecen sensibles.",negative
5281,EXCELENT BUEN CALID EXCELENT BUEN CALID ENCANT RECOM,[1 0],Excelente. Muy buena calidad. Excelente. Muy buena calidad. Me encanto. Lo recomiendo,positive
5282,BUEN GENIAL ESPER MUCH,[1 0],Muy buen producto Genial el producto es lo que esperaba muchas gracias por la atención,positive
5283,BUEN COMPR DISPAR SON PRECIAS,[1 0],Muy bueno !! Compre antes q se disparará el dólar Excelente calidad de sonido a un preciaso.,positive
5284,EXCELENT EXCELENT MEJOR PRECI,[1 0],Excelente Excelente producto al mejor precio,positive
5285,BUEN TRABAJ VIDRI,[0 1],Malo No es buena para el trabajo en vidrio,negative
5286,DIABL ROS ENVI HABI PUEST BUEN RAP PAG ENVI PONG ESTRELL,[0 1],Fijarse lo q te envían Compre la cubierta diablo roso 2 y me enviaron otra y no me di cuenta ya la habian puesto pero bueno con la atención pra const es rapido pero no me gusto pagar algo y te envia otra cosa x eso le pongo 2 estrella,negative
5287,MAL UTIL CELUL,[0 1],"Muy malo poco brillo y mala definicion,sirve para al menos darle una utilidad al celular y no titrarlo jajaj",negative
5288,PRECI BUEN MAL,[0 1],"Maso Por el precio ni, ni muy buena ni muy mala",negative
5289,CONFIABL GRACI CUMPL PREOCUP LLEG COS CIEN RECOMEND,[1 0],Muy confiable Gracias!! Cumplieron con todo se preocuparon en saber cómo había llegado las cosas cien x ciento recomendable,positive
5290,EXCELENT LLEG RAP,[1 0],Excelente Llego super rápido y el cable en perfectas condiciones.  Muchas gracias,positive
5291,EXCELENT EXCELENT BUEN,[1 0],Excelente Excelente y muy bueno el producto!!,positive
5292,LLEG FALL SOLDADUR GOLP SUCI,[0 1],"Mala compra Llegó fallado de soldadura, golpeado y sucio.",negative
5293,EXCELENT EXCELENT FELIZ HIJ ARTICUL SON GRAND QUER USAR,[1 0],Excelente Excelente! Feliz mi hijo de 7 con el juguete. Es articulado y con sonido. Hasta los grandes lo queremos usar,positive
5294,BUEN ATENCION LLEG MJY TIEMP EXELENT,[1 0],Buena atencion y llego mjy a tiempo Exelente son miy recomendables para cualquiera,positive
5295,MAL DIAS EMPEZ RUID HORRIBL RODAMIENT ERA PREFER GAST DUR TIEMP,[0 1],"Malo Muy mal producto, a los dos días de funcionamiento ya empezó a hacer un ruido horrible los rodamientos. Era preferible gastar un poco más y que dure por lo menos un tiempo",negative
5296,MAL LLEG COMPR FALT QUIS REPON DEVOLV MINIM DINER,[0 1],Muy malo Totalmente inconforme porque no me llegó el producto que compre faltaron y no me quisieron reponer me devolvieron un mínimo dinero,negative
5297,BUEN BUEN MATERIAL,[1 0],"Muy bueno Buen material, muy conforme. recomendable",positive
5298,FUNCION DISCRET,[0 1],Malo Mala calidad el pulsador no funciona el embalaje poco discreto,negative
5299,MAL BIEN CUANT TAMAÑ APARIENT PER MECAN MOVIMIENT BUEN CALID DEJ,[0 1],"Malo El producto esta bien en cuanto al tamaño y la apariencia, pero el mecanismo de movimiento, no es de buen calidad, dejo de caminar a los 15 minutos de ser utilizado.",negative
5300,DEC RECIB DIJ VENDEDOR PRETEND VAY LOCAL CAPITAL BUEN,[0 1],Malisima nada más que decir Una porqueria apenas la recibí ya vino con el micrófono desoldado y encima cuando le dije al vendedor pretendía que yo vaya hasta su local en capital si vas a vender algo asegúrate que sea bueno,negative
5301,MAL INUTILIZ RADI ANUNCI MALISIM CALID SUGIER,[0 1],"Muy malo inutilizable, ademas de que no venia con radio tal como estaba anunciado, es de malisima calidad, sugiero que lo saquen de la venta.",negative
5302,EXCELENT BUEN CALID,[1 0],Excelente Excelente muy buenos de calidad,positive
5303,PROFESIONAL EXCELENT EXCELENT CALID IMAG BUEN TERMIN PROFESIONAL VERD,[1 0],"Muy profesional excelente producto, excelente calidad de imagen, esteticamente muy muy bueno, terminación profesional....la verdad 100% x 100% recomendable.",positive
5304,GENIAL BUEN RECOMEND,[1 0],Genial Muy buena recomendable 100 por ciento,positive
5305,SOL RESISTENT TOD ESPER SIRV,[1 0],"Parece muy sólido y resistente. Todo ok, excelente presentación, ahora espero que me sirva.",positive
5306,PORQU MAL ASCO PRODUCT ENVI,[0 1],Una porquería mal Un asco me vino sin la placa del respirador de adelante revisen sus productos antes de enviar,negative
5307,BUEN PRECI BUEN PRECI LLEG,[1 0],Buen producto para el precio Buen producto para el precio. Llego en condiciones,positive
5308,BUEN ENVI OTRO,[0 1],Bueno Me enviaron otro en su lugar q yo ya ltenía..,negative
5309,EXCELENT BUEN RESISTENT PAREC BUEN RELACION PRECIOUTIL,[1 0],"Excelente Qué buenas lijas, muy resistentes y parecen durables, recién comenzamos a utilizarlas, muy buena relación precio-utilidad.",positive
5310,DESHILACH SEMAN,[0 1],Mala terminación Se deshilachó con el uso de dos semanas,negative
5311,FUNCION FUNCION,[0 1],No funciona.  Muy malo No funciona . Realmente muy malo,negative
5312,BUEN RELACION PRECI APTO BUEN RELACION PRECI CALID OJO IMPOS ACEPT WINDOWS MAND BUEN TEM VER,[1 0],"Buena relación precio producto. No apto W7 Buena relación precio calidad. OJO! IMPOSIBLE ponerle Windows 7. Solo acepta Windows 10. El resto, por ahora todo bien. Costó bastante que me mandaran la factura, pero bueno, es un tema aparte del producto y tiene más que ver con el vendedor",positive
5313,GENIAL GENIAL RAP ENTREG BUEN,[1 0],Geniales Geniales. Rápida entrega y muy buenos,positive
5314,PINTUR VIN ACLAR ERA NECESIT REVIS QUED MAL VUELV,[0 1],Pintura saltada La guitarra vino con la pintura saltada. Les aclare que era para regalo y que necesitaba que revisaran el producto para no quedar mal.No vuelvo a comprar.,negative
5315,MAL INFORM METOD ENVI PREGUNT PAS IMPORT DIJERON HACI ENVI SALI CAR FLET RECIBI DETERIOR BARAT RAP,[0 1],"Mala experiencia. Malisimo. Me mal informaron el metodo de envio. Pregunte, me pasaron un importe y luego de comprar me dijeron que no hacian envios. Me salio mas caro el flete que el producto y lo recibi deteriorado y le faltaba una pieza. Me huebiese convenido comprar uno en caulquier otro lado, me salia mas barato,  mas rapido y sano. Me arrepiento.",negative
5316,FUNCION FUNCION BIEN EQUIP APAG CUAND IMPRESCIND DISMINU,[1 0],"Funciona bien ,es facil de conectar Funciona bien ,es facil de conectar ,me permite saber a cada instante la corriente de cada equipo y cuales apagar cuando no son imprescindibles para disminuir el consumo.",positive
5317,MAL CALID VIN MALISIM,[0 1],"Nunca mas Mala calidad,  vino toda doblada sucia,  malísimo",negative
5318,POT PIERD PINTUR HERMET CUAND COMPR COMENTARI PAS VEC VEO VENDEDOR TOM RECAUD EVIT VOLV HAC DEVOLU UNIC COMPR TOM DEMOR CONLLEV DEVOLU LLEG,[0 1],"Desconforme totalmente! Los potes pierden pintura, no son herméticos. Cuando los compre había comentarios que esto ya venia pasando varias veces y por lo que veo, el vendedor no tomo recaudos para evitar que volviera a suceder. Lamentablemente no pude hacer la devolución porque no fue el único producto que compre y no podía tomarme el lujo de la demora que conlleva la devolución hasta que me llegue nuevamente.",negative
5319,PAREC BUEN FUNCION SEMAN QUEM,[0 1],"No parece un buen producto Funcionó una semana y se quemó la plaqueta,",negative
5320,DEFICIENT RESPOND BORR CODIG,[0 1],Deficiente No responde bien ni borra algunos códigos..,negative
5321,EXCELENT EXCELENT SERVICI SITI,[1 0],Excelente EXCELENTE SERVICIO EN TODO SENTIDO 100 % RECOMENDABLE PARA EL SITIO !!!,positive
5322,COMOD LIND,[0 1],Eexcelente Excelente zapato  muy cómodo  vale la compra muy lindo,negative
5323,EXCELENT BUEN CALID EXCELENT CALC HERMOS COLOR,[1 0],"Excelente Muy buena calidad, excelente calce y un hermoso color",positive
5324,SERI PREGUNT TRA COLOC DIJ,[0 1],"Poco serio El gomon está bueno, pero cuando le pregunté si traía el soporte para colocar el motor me dijo que Sí y no trae NADA. MINTIÓ",negative
5325,MAL RECOM APAG ESCUCH DESCONECT DUR COMPR TIEN HORARI LUN VIERN IMPOS IR,[0 1],"MUY MALO NO LO RECOMIENDO   no sirve se apaga después de escuchar dos temas, se desconecta solo, la batería no dura nada, donde lo compre tiene un horario de 09 a 15 de lunes a viernes imposible ir a cambiarlo, plata tirada",negative
5326,EXCELENT BUEN CALID,[0 1],Excelente Excelente  buen producto y calidad,negative
5327,EXCELENT GENIAL SENT,[1 0],Excelente Son genial en todos los sentidos,positive
5328,BUEN,[1 0],Cubierta Arisun Excelente...muy buena cubierta,positive
5329,CONFORM CALID PRECI ANDA BIEN 4G,[0 1],"No estoy conforme calidad precio No anda bien el 4G, y la  alarma de desconfigura",negative
5330,QUECHU,[0 1],"malo Chico, asfixiante, mala calidad  me decepcionó quechua",negative
5331,MAL CALID BUEN AGARR HIL CHIC MUESTR,[0 1],"Mala La calidad no es buena , los agarres son sin broche y con un hilo y es mas chica de lo q muestra . Y muy dura .",negative
5332,BUEN CONFORM,[1 0],Bueno Estamos conformes con el producto gracias,positive
5333,ENTREG MALISIM COMPR ENTREG,[0 1],"Mala calidad y me entregaron solo 1 de los 5 Malisimo, compré 5 y me entregaron 1 solo, y con muy mala calidad",negative
5334,COMPR RECIB DOMICILI PER RECIB CARG HOR CORRESPONDIENT NOT INCONVENIENT TERMIN ALGUN FUNCION TIEN PROBLEM FLEXIBL MANEJ PANTALL FUNCION APAG USARL NAVEG USAR WORD MAND VENDEDOR TIEMP IMPLIC CAMBI ESTOY DUD CRE MAND MISM PREND TIEN MISM PROBLEM APAG TIEMP EMPRES SIQU PRUEB PRODUCT HAC COMPR FUNCION SAB ERA COMPR BAJISIM CAS NAVEG IMAGIN SIQU FUNCION VENDEDOR DEJ MUCH DES CONTEST MENSAJ CUAND CANT SOLUCION COMPR PORQU BUEN MAQUIN,[0 1],"No compren este producto! La recibí en mi domicilio, pero tras recibirla y dejarla cargando las 6 horas correspondientes noté que tiene varios inconvenientes.  Se termina la batería rapidísimo, algunas teclas del teclado no funcionan, pero lo peor es que tiene un problema de FLEX, es decir el flexible que maneja la pantalla no funciona. Y se apaga al usarla, no se puede navegar, usar un Word online, NADA.   La mandé al vendedor desde POSADAS a BUENOS AIRES con todo la pérdida de tiempo que ello implica y me cambiaron por otra, que ya estoy dudando que asi sea, creo que me mandaron la misma, que al prenderla TIENE EL MISMO PROBLEMA, se apaga sola todo el tiempo.   esta empresa ni siquiera prueba sus productos o actúan de mala fe y esperan que el cliente se embrome tras hacer la compra con un producto que no funciona.   Yo sabía que no era una note de alta gama, la compré con bajisimas expectativas para usarla en mi casa, navegar y usar paquete office nada más, pero nunca imaginé que ni siquiera funciona.   Y la atención de los vendedores deja mucho que desear, te contestan un mensaje cuando se les canta y no me dan una solucion.   NO COMPREN PORQUE NO ES UNA BUENA MAQUINA.",negative
5335,BUEN NUEV ANDA,[1 0],"Muy bueno Excelnte , nuevo posta, anda perfecto ..-",positive
5336,RECOM PRIMER TOTAL,[0 1],El peor lugar para comprar..no recomiendo Primera y ultima vez..decepcion total,negative
5337,FALL PAR TEN FORR TOD GRANUL,[0 1],"Malo Me vino fallado, uno de los pares tenía el forro todo granulado",negative
5338,BUEN BUEN CALID SEC RAP,[1 0],Muy bueno Igualmente es de muy buena calidad y de secado rapido.,positive
5339,BUEN BUENISIM TARD LLEG,[1 0],Bueno Buenísimo se tardó la entrega pero llego,positive
5340,FRAGIL PIEZ ADAPT RUED PUED USAR,[0 1],Nomegustaron Muy frágil las piezas no se adaptan bien las ruedas no se pueden usar,negative
5341,BUEN EXCELENT RECOMEND,[1 0],Muy bueno Excelente producto. 100% recomendable,positive
5342,PRECI EXCELENT CALID,[1 0],Producto y precio Excelente producto de calidad y confiabilidad.,positive
5343,MAL APARAT COMPACT RESPECT ENVI,[0 1],"Muy malo Los faroles bien. Lo unico es que son muy aparatosos, me los imaginaba mas compactos... con respecto al cubretanque de regalo no lo enviaron.",negative
5344,CAGAD* ARRANC NUEV,[0 1],"Una cagad* Una cagada , lo conecte buen y me funciono una semana. Ahora no arranca de nuevo",negative
5345,BUEN AMPLI OCUP ESPACI QUED FIRM ARMAD ENCASTR MOV DESARM,[1 0],"Muy bueno! Esta buenisimo, muy amplio y no ocupa espacio! como defecto resalto q no queda muy firme, ya que el armado es por encastre entonces al moverlo se puede desarmar! por lo demas estoy muy conforme",positive
5346,EXCELENT FANTAST ESTAB BUSC,[1 0],Excelente FANTASTICO!!!! ES LO QUE ESTABA BUSCANDO,positive
5347,EXCELENT RECOMEND,[1 0],Excelente Todo perfecto. Muy recomendable,positive
5348,EXCELENT EXCELENT CALID RECIPIENT CONFORM,[1 0],"Excelente Excelente calidad, además el recipiente del dosificador es de acero inoxidable, más que conforme.",positive
5349,FEA GUST MAND,[0 1],"a prestar atencion!! no es fea,en realidad es linda,me hubiera gustado mas si me mandaban la que pedi.",negative
5350,EXCELENT BUEN CALID HERMOS COLOR LLEG TIEMP FORM MUCH REALIZ NUEV COMPR TENG RECLAM COMPR,[1 0],"Excelente Excelente el producto. muy buena calidad. hermosos los colores y el tamaño. llegó en tiempo y forma. muchas gracias. sin duda volvería a elegirlos para realizar una nueva compra. no tengo queja ni reclamo, ni una de las tazas rota. feliz con mi compra.",positive
5351,,[1 0],"Ok Bueno , gracias .................",positive
5352,RECOMEND DUR CABL RECOM TRUCH RECOM COMPR,[0 1],"no recomendable duro 2 días el cable, no lo recomiendo,  muy trucho,  recomiendo no comprar",negative
5353,EXCELENT ENCANT ERA JUST NECESIT VENDEDOR LUJ,[1 0],"Excelente Me encantó el producto, era justo lo que necesitaba.  El vendedor un lujo.",positive
5354,VOLV CUMPL COLOC,[0 1],NO LO VOLVERÍA A COMPRAR NO CUMPLIÓ CON MIS EXPECTATIVAS...A LOS POCOS DÍAS COMENZÓ A DESPEGARSE. QUIZÁS NO LO HE COLOCADO BIEN.,negative
5355,BAT OTRA DEC TEFLON,[0 1],"Use una batería y l otra no me sirve No es lo que decían, nada de teflon",negative
5356,EXCELENT EXCELENT BIEN CONFECCION,[1 0],"Excelente!! Excelente producto!! Muy bien confeccionado, mi nieto feliz!!!!",positive
5357,REGUL LLEG ESTAD REGUL SER PROB VER TIEN FISUR,[0 1],Regular El tanque llego en un estado regular. Nose si sera culpa del vendedor o del transporte cruz del sur. Todavia no lo pude probar totalmente para ver si tiene fisuras o perdidas de agua,negative
5358,GENIAL PRECI BUEN,[1 0],geniales de diez ... en el celu suenan zarpados.. recomendados. por el precio muy buenos auriculares,positive
5359,OPTIC VIN CROM BUEN ESTAD,[0 1],No quede conforme una optica no vino con el cromado en buen estado,negative
5360,MAL CALID TIEN,[0 1],Una estafa Muy mala calidad . Tiene fallas en el cuadrille,negative
5361,BUEN GRACI NINGUN PROBLEM,[1 0],CONFORME MUY BUENO GRACIAS. NINGÚN PROBLEMA.,positive
5362,BUEN SERVICI RECOMEND HERMOS MATERIAL COLOR DA ILUMINACION CAL BELL,[1 0],"muy buen servicio, recomendado hermoso material, color brilloso, da una iluminacion calida y bella",positive
5363,EXCELENT EXCELENT ENCANT SOBRIN QUED PEL,[1 0],Excelente Excelente. Le encantó a mi sobrina y le quedó al pelo.,positive
5364,BUEN IMAG BUEN CAM BUEN FOT TOD CELULAR FOT BUEN,[1 0],Buena imagen Buena cámara buenas fotos ... y después todo perfecto como otros celulares pero la imagen de las fotos muy buenas,positive
5365,COMPR CONSULT VENDEDOR ERA CORRECT COLOC MOCHIL INODOR MARC ROC MODEL DAM SENS RECIB CORRECT MODEL CORT DEVOLV,[0 1],"Malo Tuve que devolver el producto, ya que antes de comprarlo consulte al vendedor acerca del mismo si era correcto para colocarlo una mochila de inodoro marca Roca modelo dama senso. Al recibirlo no es el correcto para ese modelo, ya que es corto. Por eso tuve que devolverlo.",negative
5366,TODAV LLEG TODAV LLEG IMPOS HAC,[0 1],No se...Todavía no me llego No se...Todavía no me llegó...es imposible hacer el seguimiento en la página del transporte MDCargas...,negative
5367,MISM LLEG,[0 1],Malo Mala la calidad... la.fotos no es lo mismo que el.producto que te llega,negative
5368,EXCELENT COMPR CALID BUEN,[1 0],EXCELENTE COMPRA Es el producto que necesitaba y su calidad es muy buena,positive
5369,EXCELENT BUEN ANDUV BIEN,[1 0],Excelente Muy bueno me anduvo perfecto  Muy bien la entrega,positive
5370,BUEN CONFORM CALID PRESTACION,[1 0],Muy buen producto Muy conforme con la calidad y las prestaciones del reloj,positive
5371,COTILLON VISIBL MUCH DIVERSION ERA ESPER GUST,[0 1],es un cotillon poco visible y no mucha diversión No era lo que esperaba. No me gustó,negative
5372,DESASTR PEDI GUST DIERON CLASIC MAYOR CANTID BENEFICI ENSEÑ CONTEST,[0 1],"Un desastre la respuesta, un disculpas vale mas Pedi un gusto y me dieron un clasico de mayor cantidad. La contestacion fue que sali beneficiada que alguien les enseñe a contestar al consumidor por favor. Bastante escueta y pobre respuesta.",negative
5373,BUSC,[1 0],"LO que buscaba Todo perfecto,las roscas funcionan bien y es el unico que vi con dos esferas intercambiables,muy util.  Calida inmejorable.Estoy super conforme.",positive
5374,AÑOS BARRAL MADER CORTIN MAND CORTIN BARRAL GANCHIT SUELT CORTIN ENGANCH,[0 1],"Malo eso es lo que pedi yo!    Aplique Acero Apto Techo O Ventilador Para 2 Led A Rosca Comun Con Garantia Dos Años X Defecto Fabricacion !!  -  $ 1.199     Barral De Madera 22 Mm. Para Cortina Kit Completo 220 Cm.  -  $ 600     me mandaron la cortina, pero no el barral y los ganchitos sueltos sobre la tela de la cortin, lo  q hizo q se enganchen y la tela corrida!",negative
5375,PRECI ROMP DIAS PAG PUED QUEJ DESPERDICI,[0 1],Por el precio esta bien Meh se rompió a los 5 días.   Por lo que pagué no me puedo quejar pero fue un desperdicio,negative
5376,EXCELENT BUSC CUANT MODEL,[1 0],Excelente lo que buscaba en cuanto al modelo,positive
